No.,entity,BAU Name lang,BAU Adresse 2 lang,Country/Region Code,City,Post Code
369289,Atlas,Imfeld Plan OHG,Gewerbestraße Süd 6,D,Erkelenz,41812
369292,Atlas,Velde Plan OHG,Primoschgasse 3,AT,Klagenfurt,9020
369293,Atlas,Regen Werk OHG,Wuppertalstraße 94b,D,Leverkusen,51381
369294,Atlas,Boden Werk Service GmbH,Neckarstraße 16,D,Hückelhoven,41836
369295,Atlas,Moers Verwaltung Bau GmbH,Arnzhäuschen 56,D,Wermelskirchen,42929
369296,Atlas,Viersen Dienst Verwaltungs GmbH,Uhlandstraße 56,D,Düsseldorf,40237
369297,Atlas,Ammer Green KG,Lorettostraße 29,D,Düsseldorf,40219
369298,Atlas,Langer Werk Holding GmbH,Lanterstraße 37a,D,Dinslaken,46539
369299,Atlas,Sohl Engineering SE,Alte Holzerstraße 28,,Leichlingen,42799
369300,Atlas,Imfeld Dienst Verwaltungs GmbH,Industriestraße 44,D,Heinsberg,52525
369301,Atlas,Vogt Industrie SE,Hundspohlweg 33,,Willich,47877
369302,Atlas,Bergmann Facility SE,An der Luisenburg 7a,,Leverkusen,51379
369303,Atlas,Hammel Zentrum GmbH,Siemensring 96,,Willich,47877
369304,Atlas,Hückelhoven Construction Technik GmbH,Zieglersteg 3,,Aachen,52078
369400,Atlas,Reuter Partner Verwaltungs GmbH,Am Weidenhof 10,DE,Heinsberg,52525
369852,Atlas,Junker Umwelt OHG,Hohenesch,D,Rotenburg/Wümme,27356
369853,Atlas,Bergmann Resources KG,Am Rathaus 26,D,Bedburg,50181
369854,Atlas,Quast Energy KG,Grafschafter Str. 3a,,Rheinberg,47495
369900,Atlas,Olpe Partner Technik GmbH,,,,
369901,Atlas,Kreis Consulting Holding GmbH,Rolland 32,DE,Heinsberg,52525
369902,Atlas,Wenger Plan GmbH & Co. KG,Gewerbestraße Süd 22,DE,Erkelenz,41812
369903,Atlas,Xaver Service Technik GmbH,Dresdener Straße 3,D,Aachen,52068
369904,Atlas,Bergmann Invest SE,Rotter Bruch 2,D,Aachen,52068
369905,Atlas,Junker Solutions Holding GmbH,Linus-Pauling-Weg 1,D,Münster,48155
369906,Atlas,Kreis Park OHG,Graf-Recke-Str. 43,D,Düsseldorf,40239
369907,Atlas,Jülich Zentrum SE,Malefinkstraße 32,D,Hückelhoven,41836
369908,Atlas,Paderborn Invest KG,Erzbischof-Philipp-Straße 17,D,Heinsberg,52525
369909,Atlas,Castrop Plan KG,Lüschershofstraße 61-63,,Essen,45356
369910,Atlas,Nordmann Gruppe Holding GmbH,Platz der Einheit 2,DE,Frankfurt/Main,60327
369911,Atlas,Rheine Solutions Technik GmbH,In Brück 3,D,Hückelhoven,41836
369912,Atlas,Wegberg Immobilien GmbH,Stadtwaldstraße 62,D,Mönchengladbach,41179
369913,Atlas,Gelsen Management Technik GmbH,Gladbacherstr. 64,,Elsdorf,50189
369930,Atlas,Olfen Bau KG,Küstersgäßchen 11,D,Wassenberg,41849
369940,Atlas,Rheine Resources SE,Gleueler Straße 68b,DE,Frechen,50226
369941,Atlas,Zander Holding Bau GmbH,Kronenstraße 55-58,D,Berlin,10117
369945,Atlas,Jäger Green Verwaltungs GmbH,Hohenstaufenring 57,D,Köln,50674
369946,Atlas,Xaver Property SE,Max-Planck-Straße 17-21,D,Alsdorf,52477
369947,Atlas,Reuter Zentrum Holding GmbH,Güldentröge 17,D,Kamen,59174
370277,Atlas,Langer Gruppe Bau GmbH,Hanbrucher Straße 9,D,Aachen,52064
640000,Atlas,Hückelhoven Zentrum KG,,,,
640001,Atlas,Reuter Tech SE,Industriestraße 50,D,Heinsberg,52525
640002,Atlas,Cramer Holding Bau GmbH,Drosselweg 87,D,Aachen,52078
640003,Atlas,Ammer Haus Bau GmbH,Hörder Str. 78,D,Düsseldorf,40472
640004,Atlas,Olpe Construction GbR,Kurfürstenstr. 40,D,Aachen,52066
640005,Atlas,Olfen Haus Bau GmbH,Lagerhausstraße 20,DE,Aachen,52064
640006,Atlas,Ammer Umwelt OHG,Vitalisstraße 198-226,D,Köln,50827
640007,Atlas,Imfeld Service AG,Graf-Zeppelin-Straße 2,,Oberhausen,46149
640008,Atlas,Eder Dienst Service GmbH,Boos-Fremery-Straße 62,D,Heinsberg,52525
640009,Atlas,Ammer Engineering KG,Kreuzkapelle 63 - 65,D,Much,53804
640010,Atlas,Gerber Engineering GbR,Industriestraße 50,D,Heinsberg,52525
640011,Atlas,Paderborn Solutions AG,Karl-Arnold-Straße 103,D,Heinsberg,52525
640012,Atlas,Hallberg Recycling Technik GmbH,Ringstr. 73,D,Leverkusen,51371
640013,Atlas,Xanten Facility GbR,Max-Planck-Straße 11,,Geilenkirchen,52511
640014,Atlas,Dachstein Bau Verwaltungs GmbH,Industriestraße 50,DE,Heinsberg,52525
640015,Atlas,Troisdorf Real OHG,Siemensstraße 7,DE,Heinsberg,52525
640016,Atlas,Kleve Park Bau GmbH,Zechenring 4,D,Hückelhoven,41836
640017,Atlas,Thalberg Holding Holding GmbH,Kleinbahnstraße 59,D,Kempen,47906
640018,Atlas,Gelsen Partner Service GmbH,Industriestraße 50,DE,Heinsberg,52525
640019,Atlas,Falkenau Construction SE,Industriestraße 50,DE,Heinsberg,52525
640020,Atlas,Kreis Park Technik GmbH,Industriestraße 50,D,Heinsberg,52525
640021,Atlas,Boden Smart GmbH & Co. KG,Zollernstraße 10,DE,Aachen,52070
640022,Atlas,Zülpich Real KG,Frans Erenslaan 23,NL,Geleen,6160 BC
640023,Atlas,Zülpich Immobilien OHG,Industriestraße 50,DE,Heinsberg,52525
640026,Atlas,Viersen Zentrum Holding GmbH,Industriestraße 50,DE,Heinsberg,52525
640030,Atlas,Dachstein Resources KG,Lambert-Schlun-Weg 5,D,Gangelt,52538
640031,Atlas,Viersen Solutions Holding GmbH,Industriestraße 50,D,Heinsberg,52525
640032,Atlas,Lemgo Werk KG,Industriestraße 50,D,Heinsberg,52525
640033,Atlas,Neuer Wirtschaft Bau GmbH,Schermbecker Landstr. 22,D,Hünxe,46569
640200,Atlas,Neuer Estate GbR,,,,
640201,Atlas,Neuer Invest Technik GmbH,Oberbrucher Straße 15,D,Heinsberg,52525
640202,Atlas,Zülpich Facility GmbH,Paulisweg 30,D,Waldfeucht-Haaren,52525
640203,Atlas,Altenberg Resources GbR,Augustinergasse 2,D,Aachen,52064
640204,Atlas,Sohl Verwaltung GmbH,Friedrich-List-Allee 70,DE,Wegberg,41844
640205,Atlas,Troisdorf Immobilien Holding GmbH,Prinz-Eugen-Straße 11,D,Bietigheim-Bissingen,74321
640206,Atlas,Hammel Consulting KG,Altenberger Straße 3,D,Wermelskirchen,42929
640207,Atlas,Gerber Property Technik GmbH,Jahnstraße 10,D,Düsseldorf,40215
640208,Atlas,Jülich System Technik GmbH,Industriestraße 1,D,Pulheim,50259
640209,Atlas,Troisdorf Concept AG,Im Hagenkamp 10,D,Waldfeucht,52525
640210,Atlas,Lemgo Bau GmbH,Elsumer Weg 14 a,D,Wassenberg,41849
640211,Atlas,Mauer Management Service GmbH,Schützendelle 83,,Bedburg,50181
640212,Atlas,Zander Concept GmbH,Steinkirchener Str. 24,D,Wassenberg,41849
640213,Atlas,Pfeifer Bau GmbH,Wolfsruhe 52,D,Bedburg,50181
640214,Atlas,Thalberg Haus OHG,Stresemannstraße 12,D,Bedburg,50181
640215,Atlas,Rheine Invest SE,Stresemannstraße 8,D,Bedburg,50181
640216,Atlas,Nordmann Solutions GmbH,Oppelner Straße 30,DE,Mönchengladbach,41199
640217,Atlas,Gelsen Werk SE,Vorster Straße 68,D,Viersen,41748
641000,Atlas,Ulmen Tech Holding GmbH,,D,,
641001,Atlas,Lemgo Holding Service GmbH,Am Damm 62,D,Gangelt,52538
641002,Atlas,Neuer Estate Technik GmbH,Gördeler Str. 17,D,Aachen,52066
641003,Atlas,Jäger Construction Holding GmbH,Klosengartenstraße 32,D,Erftstadt,50374
641004,Atlas,Sohl Real Bau GmbH,Industriestraße 50,D,Heinsberg,52525
641200,Atlas,Linde Resources Bau GmbH,,D,,
641201,Atlas,Arnsberg Invest GmbH & Co. KG,Tonbrennerstr. 8,D,Aachen,52080
641202,Atlas,Heinsberg Management Technik GmbH,Vereinsstr. 22,D,Aachen,52062
641203,Atlas,Olfen Tech Technik GmbH,Beeckstr. 4-6,D,Aachen,52062
641204,Atlas,Ebert Engineering Holding GmbH,Robert-Koch-Straße 14,D,Geilenkirchen,52511
641205,Atlas,Troisdorf Materials SE,Zum Engelshof 7,D,Köln,50996
641206,Atlas,Falkenau Wirtschaft OHG,Weserstr. 8,D,Hückelhoven,41836
641207,Atlas,Ochsner Logistik Holding GmbH,Daniel-Goldbach-Straße 19,,Ratingen,40880
641208,Atlas,Neuss Gruppe GmbH & Co. KG,Charles-de-Gaulle-Straße 20,D,Bonn,53113
641209,Atlas,Ufer Solutions Service GmbH,Gut Hommerschen,,Geilenkirchen,52511
641210,Atlas,Wegberg Wirtschaft OHG,Burgweg 56,D,Dortmund,44145
641220,Atlas,Dorsten Service GbR,Platz dAgen 1,D,Dinslaken,46535
641600,Atlas,Gerber Property GmbH & Co. KG,,D,,
641601,Atlas,Grund Recycling AG,Industriestraße 50,D,Heinsberg,52525
641602,Atlas,Hallberg Green OHG,Dinstühlerstraße 21,D,Hückelhoven,41836
641603,Atlas,Zehm Umwelt OHG,Trierer Straße 144-146,D,Aachen,52078
641604,Atlas,Gerber Bau Bau GmbH,Myhler Straße 83,D,Hückelhoven,41836
641605,Atlas,Kreis Green GmbH,Herzogstr. 18,D,Aachen,52070
641606,Atlas,Mauer Management GmbH & Co. KG,Industriestraße 50,D,Heinsberg,52525
641607,Atlas,Mauer Energy Holding GmbH,Industriestraße 50,D,Heinsberg,52525
641608,Atlas,Altenberg Immobilien Technik GmbH,Edekaplatz 1,D,Moers,47445
641609,Atlas,Iserlohn Partner Bau GmbH,Krusestraße 20,D,Willich,47877
641610,Atlas,Brackel Holding Bau GmbH,Greefsallee 1-5,DE,Viersen,41747
641611,Atlas,Hückelhoven Gruppe OHG,St-Jöris-Straße 40,D,Alsdorf,52477
641612,Atlas,Langer Smart GmbH,Am Waldrand 2,D,Bedburg,50181
641613,Atlas,Pfahl Projekt SE,Remigiusplatz 4,D,Viersen,41747
641614,Atlas,Fröndenberg System Service GmbH,Wemer-Heisenberg-Straße 9A,,Baesweiler,52499
641615,Atlas,Nordmann Holding Technik GmbH,Gladbacher Str. 111,,Elsdorf,50189
641800,Atlas,Ufer Facility OHG,,D,,
641801,Atlas,Neuer Dienst GbR,Karolinger Str. 85,,Düsseldorf,40223
641802,Atlas,Gerber Resources Service GmbH,Cecilienallee 65,,Düsseldorf,40474
641803,Atlas,Wenger Smart Bau GmbH,Arnoldstr. 15,,Düsseldorf,40479
641804,Atlas,Pfahl Partner SE,Siemensstraße 13,D,Heinsberg,52525
641805,Atlas,Hammel Solutions OHG,Industriestraße 50,D,Heinsberg,52525
641806,Atlas,Keller Umwelt AG,Lehmkaul 5,D,Wassenberg,41849
641807,Atlas,Ochsner Engineering Bau GmbH,Industriestraße 50,D,Heinsberg,52525
641808,Atlas,Düren Gruppe Holding GmbH,An der Glashütte 14,,Gräfenroda,99330
641809,Atlas,Bergmann Smart KG,Wallonischer Ring 23,D,Viersen,41748
641810,Atlas,Regen Holding Bau GmbH,Industriestraße 50,D,Heinsberg,52525
641811,Atlas,Heinsberg Immobilien Holding GmbH,Markusweg 2,D,Kerpen,50170
641812,Atlas,Xaver Service OHG,Am Flutgraben 48,,Köln,51067
641813,Atlas,Wegberg Recycling GbR,Dreilindenstraße 12,D,Aldenhoven,52457
642122,Atlas,Wesel Resources Service GmbH,Gewerbering Nord 11,D,Großröhrsdorf,01900
642123,Atlas,Hamm Partner Technik GmbH,Industriestraße 50,D,Heinsberg,52525
642124,Atlas,Rheine Recycling SE,Josef-Gaspers-Str. 39,D,Heinsberg,52525
642125,Atlas,Pfahl Recycling Technik GmbH,Industriestraße 50,D,Heinsberg,52525
642126,Atlas,Thalberg Consulting GmbH,Siemensring 89,D,Willich,47877
642130,Atlas,Ulmen Werk Service GmbH,Industriestraße 50,D,Heinsberg,52525
642200,Atlas,Cramer Materials Holding GmbH,,,,
642201,Atlas,Wenger Haus Verwaltungs GmbH,Johann-Frenken-Weg 18,D,Heinsberg,52525
642202,Atlas,Wegberg Immobilien GmbH,Jahnstraße 10,D,Titz,52445
642203,Atlas,Gelsen Facility GbR,Ferdinand-Stral-Str. 13,D,Mönchengladbach,41061
642204,Atlas,Merker Smart GmbH,Klevchen 9,D,Heinsberg,52525
642205,Atlas,Xaver Facility SE,Carlsiedlung 23,D,Aachen,52070
642206,Atlas,Torf Tech OHG,Borsigstraße 100,D,Heinsberg,52525
642207,Atlas,Torf Tech OHG,Borsigstraße 100,D,Heinsberg,52525
642208,Atlas,Hückelhoven System GmbH & Co. KG,Tannenkrugstraße 22 - 28,D,Rastede,26180
642209,Atlas,Fröndenberg Bau Bau GmbH,Kackertstraße 22,,Aachen,52072
642210,Atlas,Vogt Industrie SE,Hundspohlweg 33,,Willich,47877
642211,Atlas,Gelsen System AG,Am Sportplatz 7,D,Geiselbach,63826
642212,Atlas,Regen Verwaltung GmbH,Zur Alten Burg 11,D,Bedburg,50181
642213,Atlas,Pfahl Industrie Service GmbH,Albert-Einstein-Straße 8,D,Bedburg,50181
642214,Atlas,Keller Dienst KG,Carl-von-Ossietzky-Ring 12,,Bedburg,50181
642800,Atlas,Rheine Verwaltung AG,,,,
642801,Atlas,Olfen Verwaltung Technik GmbH,Waldweg 74,D,Waldfeucht-Haaren,52525
642802,Atlas,Siegen Haus Verwaltungs GmbH,Talstraße 126,D,Heinsberg,52525
642803,Atlas,Geilenkirchen Service Verwaltungs GmbH,van der Straeten Weg 7,D,Heinsberg,52525
642804,Atlas,Mauer Capital GbR,Rosfeld 50,D,Aachen,52074
642805,Atlas,Pfahl Bau SE,Brückweg 13,D,Würselen,52146
642806,Atlas,Xaver Wirtschaft KG,Ostpromenade 76,D,Heinsberg,52525
642807,Atlas,Hammel Zentrum GbR,Otto-Hahn-Straße 11,D,Heinsberg,52525
642808,Atlas,Kreis Umwelt Bau GmbH,In den Bremen 33,D,Simmerath,52152
642809,Atlas,Hammel Service Holding GmbH,Flutgraf 3,D,Heinsberg-Kempen,52525
642810,Atlas,Xanten Logistik Technik GmbH,Burgweg 56,D,Dortmund,44145
642811,Atlas,Regen Consulting KG,Theodorstraße 101,D,Düsseldorf,40472
642812,Atlas,Ebert Real SE,Hegenscheidt Platz,D,Erkelenz,41812
642813,Atlas,Nordmann Umwelt SE,Borsigstraße 86,D,Heinsberg,52525
642814,Atlas,Viersen Facility OHG,August-Thyssen-Straße 5,D,Geilenkirchen,52511
642815,Atlas,Unna Property Verwaltungs GmbH,Hohe Warth 23,DE,Herford,32052
642816,Atlas,Altenberg Bau Verwaltungs GmbH,Thomas-Edison-Straße 15,D,Baesweiler,52499
642817,Atlas,Jäger Energy OHG,Apfelstraße 60,D,Heinsberg,52525
642818,Atlas,Reuter Immobilien Verwaltungs GmbH,Stresemannstraße 19,D,Bedburg,50181
642819,Atlas,Falkenau Concept Service GmbH,Wolfsruhe 42,D,Bedburg,50181
642820,Atlas,Rheine Recycling GmbH,Am Waldrand 8,D,Bedburg,50181
642821,Atlas,Moers Engineering OHG,Goethestraße 8,D,Bedburg,50181
642822,Atlas,Mauer Estate SE,Schützendelle 83,D,Bedburg,50181
643500,Atlas,Dreher System AG,,,,
643501,Atlas,Düren Plan Holding GmbH,Opelstraße 3,D,Hückelhoven,41836
643502,Atlas,Jäger Management GmbH,Höferhof 16,D,Wermelskirchen-Dabringhausen,42929
643503,Atlas,Zander Property Bau GmbH,Industriestraße 50,,Heinsberg,52525
643600,Atlas,Troisdorf Park Service GmbH,,D,,
643601,Atlas,Siegen Materials GmbH,Mittelstr. 4,D,Heinsberg,52525
643602,Atlas,Fröndenberg Management KG,Schafhausener Straße 11,D,Heinsberg,52525
643603,Atlas,Lemgo Dienst OHG,Spyckstraße 214-218,D,Kleve,47533
643604,Atlas,Reuter Projekt SE,Luxemburger Straße 25-27,D,Erkelenz,41812
643605,Atlas,Lemgo Dienst OHG,Spyckstraße 214-218,D,Kleve,47533
643606,Atlas,Nordmann Logistik Verwaltungs GmbH,Breite Straße 91,D,Hückelhoven,41836
643607,Atlas,Brackel Property Service GmbH,Madrider Ring 10,D,Aachen,52078
643608,Atlas,Ufer Gruppe Holding GmbH,Wolfsruhe 50,D,Bedburg,50181
643609,Atlas,Brackel Immobilien Technik GmbH,Rudolf-Diesel-Straße 13,D,Heinsberg,52525
643800,Atlas,Emden Plan Service GmbH,,,,
643801,Atlas,Viersen Plan SE,Theresienstr. 31,D,Heinsberg,52525
643802,Atlas,Sander Real AG,Hedwigstr. 25,D,Heinsberg,52525
643803,Atlas,Xaver Property Service GmbH,Tittelsstr. 48,D,Würselen,52146
643804,Atlas,Ochsner Materials AG,Amselweg 25,D,Heinsberg,52525
643805,Atlas,Hückelhoven Green AG,Uetterather Dorfstr. 48,D,Heinsberg,52525
643806,Atlas,Wenger Smart Verwaltungs GmbH,Paßstr. 66,D,Aachen,52070
643807,Atlas,Xaver Zentrum Verwaltungs GmbH,Bismarckstraße 36,D,Aachen,52066
643808,Atlas,Thalberg Smart Service GmbH,Zedernweg 9,D,Aachen,52076
643809,Atlas,Zehm System GbR,Feldstr. 8,D,Aachen,52070
643810,Atlas,Xaver Service OHG,St. Annabergstr. 1,D,Aachen,52078
643811,Atlas,Kreis Consulting Bau GmbH,Stettiner Str. 14,D,Aachen,52078
643812,Atlas,Fröndenberg Partner Verwaltungs GmbH,Hünefeldstr. 29,D,Aachen,52068
643813,Atlas,Olfen Construction Verwaltungs GmbH,von-Humboldt-Straße 125,D,Geilenkirchen,52511
643814,Atlas,Regen Dienst KG,Aachener Straße 999,D,Köln,50933
643815,Atlas,Sohl Partner Verwaltungs GmbH,Valkenburger Straße 45,D,Heinsberg,52525
643816,Atlas,Emden Service GmbH & Co. KG,Konrad-Adenauer-Platz 1,D,Krefeld,47803
643817,Atlas,Moers Immobilien GmbH & Co. KG,Auf dem Fange 5,D,Erwitte,59597
643818,Atlas,Aachen Projekt KG,Mülforter Straße 69,,Mönchengladbach,41238
643819,Atlas,Pfahl Projekt Service GmbH,Am Wasserturm 24 - 26,,Herzogenrath,52134
643820,Atlas,Reuter Service Holding GmbH,Hauptstraße 38,D,Wegberg,41844
643821,Atlas,Xanten Energy AG,Stresemannstraße 6,D,Bedburg,50181
643822,Atlas,Wenger Werk AG,Stresemannstraße 10,DE,Bedburg,50181
643823,Atlas,Dachstein Dienst Verwaltungs GmbH,Wolfsruhe 48,D,Bedburg,50181
643824,Atlas,Lemgo Partner Technik GmbH,Stresemannstraße 18,D,Bedburg,50181
643825,Atlas,Hamm Projekt GmbH,Ritterstraße 20,D,Aachen,52072
644700,Atlas,Cramer Industrie GbR,,,,
644701,Atlas,Wenger Facility Technik GmbH,Ostpromenade 46,D,Heinsberg,52525
644702,Atlas,Grund Holding GbR,Im Wirrigen 32,D,Waltrop,45731
644703,Atlas,Arnsberg Partner Verwaltungs GmbH,Otto-Hahn-Straße 3b,D,Heinsberg,52525
644704,Atlas,Bremer Green GmbH,Hülhovener Straße 85,DE,Heinsberg,52525
644705,Atlas,Wald System Service GmbH,Bahnhofstraße 29,DE,Arnstorf,94424
644706,Atlas,Altenberg Capital GmbH & Co. KG,Stresemannstraße 20,D,Bedburg,50181
644707,Atlas,Langer Real SE,Schroufstraße 48d,D,Aachen,52078
644708,Atlas,Xaver Solutions Holding GmbH,An Fürthenrode 51,,Geilenkirchen,52511
644709,Atlas,Reuter Green GmbH & Co. KG,Johannes-Gutenberg-Straße 3a,,Baesweiler,52499
645100,Atlas,Geilenkirchen Construction GmbH,,D,,
645101,Atlas,Ilten Holding GbR,Uerdinger Straße 53,D,Moers,47441
645102,Atlas,Eder Umwelt KG,Kupferstr. 13,D,Aachen,52070
645103,Atlas,Aachen Holding GmbH & Co. KG,Schagenstr. 98,D,Aachen,52078
645104,Atlas,Zehm Solutions GbR,Talbotstr. 2,D,Aachen,52068
645105,Atlas,Bremer Holding Verwaltungs GmbH,Bahnhofstaße 22,D,Meckenheim,53340
645106,Atlas,Flur Verwaltung GmbH & Co. KG,Sandstr. 13,D,Waldfeucht,52525
645107,Atlas,Pfeifer Bau Bau GmbH,Rabenweg 20,D,Gangelt,52538
645108,Atlas,Xanten Management Technik GmbH,Hüttenstraße 37,D,Aachen,52068
645109,Atlas,Eder Estate GmbH & Co. KG,Heinrich-Jansen-Weg 12,D,Erkelenz,41812
645110,Atlas,Fröndenberg Concept KG,Dr.-Günter-Henle-Str. 5,D,Mündersbach,56271
645111,Atlas,Wenger Plan Technik GmbH,Gneisenaustraße 2,D,Leverkusen,51377
645112,Atlas,Fröndenberg Energy GmbH & Co. KG,Trg na Stavbah 1,SLO,Litija,1270
645113,Atlas,Sohl Service KG,Max-Planck-Straße 7-11,D,Vreden,48691
645114,Atlas,Rheine Umwelt Verwaltungs GmbH,Stresemannstraße 21,D,Bedburg,50181
645115,Atlas,Lemgo Capital GbR,Am Waldrand 16,D,Bedburg,50181
645116,Atlas,Jülich Plan GmbH,Stresemannstraße 7,D,Bedburg,50181
645117,Atlas,Siegen Capital GbR,Kuhlenwall 54,D,Duisburg,47051
645800,Atlas,Troisdorf System Verwaltungs GmbH,,,,
645801,Atlas,Merker Wirtschaft SE,Rheinertstraße 22 a,D,Heinsberg,52525
645802,Atlas,Emden Management Bau GmbH,Vaalser Straße 137,D,Aachen,52074
645803,Atlas,Siegen Partner Service GmbH,Achterstr. 3,D,Aachen,52062
645804,Atlas,Velde Gruppe Service GmbH,An der Junkersmühle 3,D,Aachen,52064
645805,Atlas,Emden System GbR,Odenkirchener Straße 201,,Mönchengladbach,41236
645806,Atlas,Fröndenberg Logistik Holding GmbH,Ferdinand-Porsche-Straße 2,DE,Heinsberg,52525
645807,Atlas,Flur Plan Verwaltungs GmbH,Oldenkirchener Straße 201,,Mönchengladbach,41236
645808,Atlas,Rheine Zentrum SE,Harpener Heide 14,D,Bochum,44805
645809,Atlas,Wegberg Green Service GmbH,Stresemannstraße 13,D,Bedburg,50181
645810,Atlas,Pfeifer Projekt Verwaltungs GmbH,Patersgasse 17,DE,Heinsberg,52525
645811,Atlas,Kleve Smart Holding GmbH,Am Bräuchler 15,,Nörvenich,52388
646000,Atlas,Neuss System GmbH & Co. KG,,,,
646001,Atlas,Jäger Invest Verwaltungs GmbH,Industriestraße 50,D,Heinsberg,52525
646002,Atlas,Boden Real AG,Industriestraße 50,D,Heinsberg,52525
646003,Atlas,Xanten Construction Holding GmbH,Fuggerstraße 2,D,Ibbenbüren,49479
646004,Atlas,Sohl Immobilien GbR,Industriestraße 50,D,Heinsberg,52525
646005,Atlas,Ulmen Engineering KG,Industriestraße 50,D,Heinsberg,52525
646006,Atlas,Mauer Energy Holding GmbH,Industriestraße 50,D,Heinsberg,52525
646007,Atlas,Linde Werk Technik GmbH,Industriestraße 50,DE,Heinsberg,52525
646100,Atlas,Hallberg Logistik KG,,,,
646101,Atlas,Mauer Industrie GmbH,Alt Haarener Str. 1,D,Aachen,52080
646102,Atlas,Olfen Engineering GmbH,Aureliusstraße 35,D,Aachen,52064
646103,Atlas,Arnsberg Holding Holding GmbH,Gartenstr. 3,D,Aachen,52064
646104,Atlas,Düren Invest OHG,Jean-Bremen-Str. 9,D,Aachen,52080
646105,Atlas,Reuter Concept GmbH,Langemarckstraße 29,DE,Essen,45141
646106,Atlas,Mauer Invest AG,Plaggenbahn 52,D,Dorsten,46282
646107,Atlas,Quast Recycling KG,Atelierstraße 5,D,Erkelenz,41812
646108,Atlas,Ebert Consulting OHG,ABC-Straße 19,D,Hamburg,20354
646109,Atlas,Ilten Umwelt Verwaltungs GmbH,Hauptstraße 24,,Neunkirchen-Seelscheid,53819
646110,Atlas,Nordmann Solutions SE,Industriestraße 50,DE,Heinsberg,52525
646111,Atlas,Geilenkirchen Tech AG,Wallonischer Ring 19,D,Viersen,41748
646600,Atlas,Kreis Resources SE,,,,
646601,Atlas,Bergmann Materials Technik GmbH,Heinrich-Korsten-Straße 1,D,Mönchengladbach,41189
646700,Atlas,Ebert Estate GmbH,,,,
646701,Atlas,Regen Concept Bau GmbH,Werlofeld 8a,D,Heinsberg,52525
646702,Atlas,Jäger Plan Service GmbH,Kirberichshofer Weg 27,D,Aachen,52066
646703,Atlas,Thalberg Dienst SE,van der Straeten Weg 12,D,Heinsberg,52525
646704,Atlas,Pfahl Park Holding GmbH,Steffensplatz 4,D,Aachen,52070
646705,Atlas,Mauer Real Bau GmbH,Industriestraße 50,D,Heinsberg,52525
646706,Atlas,Troisdorf Real GmbH & Co. KG,Rheinstraße 9,D,Hückelhoven,41836
646707,Atlas,Neuss Smart GbR,Vorster Str. 3 - 9,,Viersen,41748
646708,Atlas,Pfahl Partner Verwaltungs GmbH,Rheinstraße 105,,Hückelhoven,41836
646709,Atlas,Sohl Estate GbR,Reststrauch 185,D,Mönchengladbach,41199
646710,Atlas,Castrop Management GmbH,Industriestraße 50,D,Heinsberg,52525
646711,Atlas,Unna Engineering Technik GmbH,Stolberger Straße 90,,Köln,50933
646712,Atlas,Hückelhoven Umwelt GbR,Stresemannstraße 15,D,Bedburg,50181
646713,Atlas,Wald Real GmbH,,DE,Essen,45128
646714,Atlas,Troisdorf Projekt Holding GmbH,,,Neu-Isenburg,63263
647200,Atlas,Vogt Park GmbH & Co. KG,,,,
647201,Atlas,Hückelhoven Partner GmbH & Co. KG,Atelierstraße 5,D,Erkelenz,41812
647202,Atlas,Langer Partner Holding GmbH,Schafhausener Straße 35,D,Heinsberg,52525
647203,Atlas,Lemgo Plan AG,Heinsberger Str. 41,D,Selfkant-Saeffelen,52538
647204,Atlas,Regen Industrie Technik GmbH,Commerdener Höhe 34,D,Erkelenz,41812
647205,Atlas,Kleve Property KG,Rudolf-Diesel-Straße 18,D,Heinsberg,52525
647206,Atlas,Jülich Recycling GmbH,Industriestraße 1,D,Döhlau,95182
647207,Atlas,Hückelhoven Zentrum GmbH & Co. KG,Thomas-Edison-Straße 15,,Baesweiler,52499
647208,Atlas,Xaver Industrie Service GmbH,Gewerbestraße Süd 6a,D,Erkelenz,41812
647209,Atlas,Pfeifer Engineering GmbH,Nikolausstraße 1,D,Stolberg,52222
647210,Atlas,Dachstein Concept Service GmbH,Max-Planck-Straße 22,D,Köln,50858
647211,Atlas,Flur Recycling Technik GmbH,Wolfsruhe 46,D,Bedburg,50181
647212,Atlas,Heinsberg Consulting Service GmbH,Stresemannstraße 9,D,Bedburg,50181
647213,Atlas,Düren Umwelt OHG,am Flugplatz 27,DE,Mendig,56743
647600,Atlas,Mauer Plan SE,,,,
647601,Atlas,Hamm Energy GmbH & Co. KG,Parkhofstraße 28,D,Hückelhoven,41836
647602,Atlas,Boden Resources Bau GmbH,Borsigstraße 63,D,Heinsberg,52525
647603,Atlas,Hammel Immobilien Bau GmbH,Lambert-Schlun-Weg 5,D,Gangelt,52538
647604,Atlas,Junker Management Technik GmbH,Bonifaciusring 23,,Essen,45309
647605,Atlas,Jäger Gruppe SE,Zechenring 50,D,Hückelhoven,41836
647606,Atlas,Torf System OHG,Am Waldrand 10,D,Bedburg,50181
647607,Atlas,Gerber Holding SE,Am Waldrand 4,D,Bedburg,50181
647608,Atlas,Heinsberg Management SE,Allensteiner Straße 10,D,Overath,51491
647630,Atlas,Xaver Materials Bau GmbH,Königsberger Straße 48,D,Heinsberg,52525
647631,Atlas,Nordmann Management KG,Heiender Feld 21,D,Heinsberg,52525
647632,Atlas,Pfeifer Bau Service GmbH,Waldhufenstraße 95,D,Heinsberg,52525
